"Genero","Edad","Estrato","NivelEd","C1","C2","C3","C4","C5","C6","C7","C8","out"
1,38,3,3,0,0.160008684324794,0.819148936170213,0.945691954593388,0.38415731034055,0.336517585757707,0.580810743750388,0.444733500572951,0
1,38,3,3,0,0.261506730351715,0.819148936170213,0.968100614105825,0.294522672290801,0.352335463060604,0.611128341914273,0.398665180092292,0
1,38,3,3,0,0.363004776378637,0.819148936170213,0.918801563178463,0.276595744680851,0.368153340363501,0.633630047763786,0.360401375081297,0
1,38,3,3,0,0.464502822405558,0.832066869300912,0.838657651510452,0.276595744680851,0.406798585695676,0.6094845232926,0.34592276007309,0
1,38,3,3,0,0.566000868432479,0.854475528813349,0.749023013460703,0.276595744680851,0.452934061162459,0.577848768686806,0.331444145064883,0
1,38,3,3,0,0.667498914459401,0.876884188325786,0.659388375410955,0.287947397804106,0.487717883505986,0.546213014081012,0.316965530056676,0
1,38,3,3,0,0.768996960486322,0.899292847838223,0.569753737361206,0.303765275107003,0.518035481669872,0.514577259475219,0.302486915048469,0
1,38,3,3,0.0512713307937688,0.819148936170213,0.921701507350661,0.480119099311457,0.3195831524099,0.548353079833757,0.482941504869425,0.288008300040261,0
1,38,3,3,0.152621635851219,0.819148936170213,0.944110166863098,0.390484461261708,0.335401029712797,0.578670677997643,0.448235221140128,0.278128774505249,0
1,38,3,3,0.253971940908669,0.819148936170213,0.966518826375535,0.30084982321196,0.351218907015694,0.608988276161528,0.402099745673345,0.282077487689306,0
1,38,3,3,0.355322245966118,0.819148936170213,0.923546926369332,0.276595744680851,0.367036784318591,0.633723094100862,0.361547050431115,0.286026200873362,0
1,38,3,3,0.456672551023568,0.830485081570622,0.844984802431611,0.276595744680851,0.403541963898021,0.61171763538242,0.347047329570126,0.289974914057419,0
1,38,3,3,0.558022856081018,0.852893741083059,0.755350164381862,0.276595744680851,0.449677439364804,0.580081880776627,0.332547608709137,0.293923627241475,0
1,38,3,3,0.659373161138468,0.875302400595497,0.665715526332113,0.286830841759196,0.485577817753241,0.548446126170833,0.318047887848148,0.297872340425532,0
1,38,3,3,0.760723466195918,0.897711060107934,0.576080888282365,0.302648719062093,0.515895415917127,0.516810371565039,0.30354816698716,0.301821053609588,0
1,38,3,3,0.819148936170213,0.920119719620371,0.486446250232616,0.31846659636499,0.546213014081012,0.485174616959246,0.289048446126171,0.305769766793645,0
1,38,3,3,0.819148936170213,0.942528379132808,0.396811612182867,0.334284473667887,0.576530612244898,0.451491842937783,0.277805347062837,0.308510638297872,0
1,38,3,3,0.819148936170213,0.964937038645245,0.307176974133118,0.350102350970783,0.606848210408784,0.405356367471001,0.281759816388562,0.308510638297872,0
1,38,3,3,0.819148936170213,0.928292289560201,0.276595744680851,0.36592022827368,0.633816140437938,0.362570560138949,0.285714285714286,0.308510638297872,0
1,38,3,3,0.828889095357552,0.85131195335277,0.276595744680851,0.400285342100366,0.613950747472241,0.34807083927796,0.28966875504001,0.308510638297872,0
1,38,3,3,0.851265136733872,0.761677315303021,0.276595744680851,0.446420817567148,0.582314992866448,0.333571118416972,0.293623224365734,0.3232215305522,0
1,38,3,3,0.873641178110192,0.672042677253272,0.285714285714286,0.483437752000496,0.550679238260654,0.319071397555983,0.297577693691458,0.356127473752671,0
1,38,3,3,0.896017219486512,0.582408039203523,0.301532163017183,0.513755350164382,0.51904348365486,0.304571676694994,0.301532163017183,0.389033416953142,0
1,38,3,3,0.918393260862833,0.492773401153775,0.317350040320079,0.544072948328267,0.487407729049066,0.290071955834005,0.305486632342907,0.421939360153613,0
1,38,3,3,0.940769302239153,0.403138763104026,0.333167917622976,0.574390546492153,0.454748464735438,0.27752620805161,0.308510638297872,0.454845303354083,0
1,38,3,3,0.963145343615473,0.313504125054277,0.348985794925873,0.604708144656039,0.408612989268656,0.281480677377334,0.308510638297872,0.487751246554554,0
1,38,3,3,0.93287187587104,0.276595744680851,0.36480367222877,0.633909186775014,0.363594069846784,0.285435146703058,0.308510638297872,0.522283130477872,0
1,38,3,3,0.857846325373966,0.276595744680851,0.397028720302711,0.616183859562062,0.349094348985795,0.289389616028782,0.308510638297872,0.559137786862399,0
1,38,3,3,0.768342159868686,0.276595744680851,0.443164195769493,0.584548104956268,0.334594628124806,0.293344085354507,0.320529123503505,0.583991452197343,0
1,38,3,3,0.678837994363406,0.284597729669375,0.481297686247751,0.552912350350475,0.320094907263817,0.297298554680231,0.353483034551206,0.587940165381399,0
1,38,3,3,0.589333828858125,0.300415606972272,0.511615284411637,0.521276595744681,0.305595186402829,0.301253024005955,0.386436945598908,0.591888878565456,0
1,38,3,3,0.499829663352845,0.316233484275169,0.541932882575523,0.489640841138887,0.29109546554184,0.305207493331679,0.41939085664661,0.595837591749512,0
1,38,3,3,0.410325497847564,0.332051361578066,0.572250480739408,0.458005086533093,0.277247069040382,0.308510638297872,0.452344767694312,0.598299730558395,0
1,38,3,3,0.320821332342284,0.347869238880963,0.602568078903294,0.411869611066311,0.281201538366106,0.308510638297872,0.485298678742014,0.584208244293722,0
1,38,3,3,0.276595744680851,0.36368711618386,0.632885677067179,0.365734135599529,0.285156007691831,0.308510638297872,0.519555238508777,0.564480163523181,0
1,38,3,3,0.276595744680851,0.393772098505056,0.618416971651883,0.350117858693629,0.289110477017555,0.308510638297872,0.556463618882203,0.542104122146861,0
1,38,3,3,0.276595744680851,0.439907573971838,0.586781217046089,0.335618137832641,0.293064946343279,0.318202965076608,0.583679672476894,0.519728080770541,0
1,38,3,3,0.283471151166032,0.479157620495006,0.555145462440295,0.321118416971652,0.297019415669003,0.35115687612431,0.587634141802618,0.497352039394221,0
1,38,3,3,0.299266003902258,0.509475218658892,0.523509707834502,0.306618696110663,0.300973884994727,0.384110787172012,0.591588611128342,0.474975998017901,0
1,38,3,3,0.315060856638484,0.539792816822778,0.491873953228708,0.292118975249674,0.304928354320452,0.417064698219713,0.595543080454066,0.466041066617114,0
1,38,3,3,0.33085570937471,0.570110414986663,0.460238198622914,0.277991439736989,0.308510638297872,0.450018609267415,0.598334470566342,0.463253739663663,0
1,38,3,3,0.346650562110936,0.600428013150549,0.415126232863966,0.280922399354879,0.308510638297872,0.482972520315117,0.585742199615409,0.475827681253678,0
1,38,3,3,0.362445414847162,0.630745611314435,0.368990757397184,0.284876868680603,0.308510638297872,0.516949941070653,0.566264499720861,0.494255009445941,0
1,38,3,3,0.390349654681161,0.620650083741703,0.351141368401464,0.288831338006327,0.308510638297872,0.553858321444079,0.543855840208424,0.512682337638205,0
1,38,3,3,0.43641797516182,0.58901432913591,0.336641647540475,0.292785807332051,0.315876806649712,0.583400533465666,0.521447180695987,0.531109665830469,0
1,38,3,3,0.476911641735576,0.557378574530116,0.322141926679486,0.296740276657776,0.348830717697413,0.58735500279139,0.499038521183549,0.54862337018799,0
1,38,3,3,0.507185109480009,0.525742819924322,0.307642205818498,0.3006947459835,0.381784628745115,0.591309472117114,0.476629861671112,0.565734460652235,0
1,38,3,3,0.537458577224442,0.494107065318529,0.293142484957509,0.304649215309224,0.414738539792817,0.595263941442839,0.466162148750078,0.570921985815603,0
1,38,3,3,0.567732044968875,0.462471310712735,0.278735810433596,0.308510638297872,0.447692450840519,0.598334470566342,0.463091619626574,0.569605748087584,0
1,38,3,3,0.598005512713308,0.418382854661622,0.280643260343651,0.308510638297872,0.48064636188822,0.587044848334471,0.474381241858446,0.578850382483199,0
