"Genero","Edad","Estrato","NivelEd","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","out"
1,38,3,3,0,0,0,0.320017368649588,0.819148936170213,0.819148936170213,0.891383909186775,1,0.491718876000248,0.276595744680851,0.276595744680851,0.396439426834564,0.512685317288009,0.648936170212766,0.504528255071025,0.385112568035626,0
1,38,3,3,0,0,0,0.52301346070343,0.819148936170213,0.819148936170213,0.936201228211649,1,0.312449599900751,0.276595744680851,0.300415606972272,0.404255319148936,0.573320513615781,0.648936170212766,0.441256745859438,0.356197427016329,0
1,38,3,3,0,0,0,0.726009552757273,0.819148936170213,0.819148936170213,0.981018547236524,0.856584579120402,0.276595744680851,0.276595744680851,0.332051361578066,0.404255319148936,0.633955709943552,0.633304385584021,0.393617021276596,0.327282285997031,0
1,38,3,3,0,0,0.109856708640903,0.819148936170213,0.819148936170213,0.844984802431611,1,0.677315303020904,0.276595744680851,0.276595744680851,0.36368711618386,0.449910055207493,0.648936170212766,0.570032876372433,0.393617021276596,0.298367144977734,0
1,38,3,3,0,0,0.312852800694746,0.819148936170213,0.819148936170213,0.889802121456485,1,0.498046026921407,0.276595744680851,0.276595744680851,0.395322870789653,0.510545251535265,0.648936170212766,0.506761367160846,0.386452453321754,0.276595744680851,0
1,38,3,3,0,0,0.515848892748589,0.819148936170213,0.819148936170213,0.93461944048136,1,0.318776750821909,0.276595744680851,0.299299050927362,0.404255319148936,0.571180447863036,0.648936170212766,0.443489857949259,0.357453011599777,0.276595744680851,0
1,38,3,3,0,0,0.718844984802432,0.819148936170213,0.819148936170213,0.979436759506234,0.862911730041561,0.276595744680851,0.276595744680851,0.330934805533156,0.404255319148936,0.631815644190807,0.635537497673842,0.393617021276596,0.328453569877799,0.276595744680851,0
1,38,3,3,0,0.102692140686062,0.819148936170213,0.819148936170213,0.843403014701321,1,0.683642453942063,0.276595744680851,0.276595744680851,0.362570560138949,0.447769989454748,0.648936170212766,0.572265988462254,0.393617021276596,0.299454128155822,0.276595744680851,0
1,38,3,3,0,0.305688232739904,0.819148936170213,0.819148936170213,0.888220333726196,1,0.504373177842566,0.276595744680851,0.276595744680851,0.394206314744743,0.50840518578252,0.648936170212766,0.508994479250667,0.387475963029589,0.276595744680851,0.2796573478476,0
1,38,3,3,0,0.508684324793747,0.819148936170213,0.819148936170213,0.93303765275107,1,0.325103901743068,0.276595744680851,0.298182494882451,0.404255319148936,0.569040382110291,0.648936170212766,0.445722970039079,0.358476521307611,0.276595744680851,0.287543295398318,0
1,38,3,3,0,0.71168041684759,0.819148936170213,0.819148936170213,0.977854971775944,0.869238880962719,0.276595744680851,0.276595744680851,0.329818249488245,0.404255319148936,0.629675578438062,0.637770609763662,0.393617021276596,0.329477079585634,0.276595744680851,0.295429242949035,0
1,38,3,3,0.0952498762988619,0.819148936170213,0.819148936170213,0.841821226971032,1,0.689969604863222,0.276595744680851,0.276595744680851,0.361454004094039,0.445629923702004,0.648936170212766,0.574499100552075,0.393617021276596,0.300477637863656,0.276595744680851,0.303315190499753,0
1,38,3,3,0.297655863433944,0.819148936170213,0.819148936170213,0.886638545995906,1,0.510700328763724,0.276595744680851,0.276595744680851,0.393089758699832,0.506265120029775,0.648936170212766,0.511227591340488,0.388499472737423,0.276595744680851,0.279294088456051,0.308510638297872,0
1,38,3,3,0.500061850569025,0.819148936170213,0.819148936170213,0.93145586502078,1,0.331431052664227,0.276595744680851,0.297065938837541,0.404255319148936,0.566900316357546,0.648936170212766,0.4479560821289,0.359500031015446,0.276595744680851,0.2872030271075,0.308510638297872,0
1,38,3,3,0.702467837704107,0.819148936170213,0.819148936170213,0.976273184045655,0.875566031883878,0.276595744680851,0.276595744680851,0.328701693443335,0.404255319148936,0.627535512685317,0.640003721853483,0.393617021276596,0.330500589293468,0.276595744680851,0.295111965758948,0.308510638297872,0
1,38,3,3,0.819148936170213,0.819148936170213,0.840239439240742,1,0.696296755784381,0.276595744680851,0.276595744680851,0.360337448049128,0.443489857949259,0.648936170212766,0.576732212641896,0.393617021276596,0.301501147571491,0.276595744680851,0.303020904410396,0.308510638297872,0
1,38,3,3,0.819148936170213,0.819148936170213,0.885056758265616,1,0.517027479684883,0.276595744680851,0.276595744680851,0.391973202654922,0.50412505427703,0.648936170212766,0.513460703430308,0.389522982445258,0.276595744680851,0.279014949444824,0.308510638297872,0.308510638297872,0
1,38,3,3,0.819148936170213,0.819148936170213,0.929874077290491,1,0.337758203585386,0.276595744680851,0.295949382792631,0.404255319148936,0.564760250604801,0.648936170212766,0.450189194218721,0.36052354072328,0.276595744680851,0.286923888096272,0.308510638297872,0.308510638297872,0
1,38,3,3,0.819148936170213,0.819148936170213,0.974691396315365,0.881893182805037,0.276595744680851,0.276595744680851,0.327585137398424,0.404255319148936,0.625395446932572,0.642236833943304,0.393617021276596,0.331524099001303,0.276595744680851,0.29483282674772,0.308510638297872,0.308510638297872,0
1,38,3,3,0.819148936170213,0.838657651510452,1,0.702623906705539,0.276595744680851,0.276595744680851,0.359220892004218,0.441349792196514,0.648936170212766,0.578965324731716,0.393617021276596,0.302524657279325,0.276595744680851,0.302741765399169,0.308510638297872,0.308510638297872,0
1,38,3,3,0.819148936170213,0.883474970535327,1,0.523354630606042,0.276595744680851,0.276595744680851,0.390856646610012,0.501984988524285,0.648936170212766,0.515693815520129,0.390546492153092,0.276595744680851,0.278735810433596,0.308510638297872,0.308510638297872,0.337889658584859,0
