"C1","C2","C3","C4","C5","C6","C7","C8","out"
0,0.160008684324794,0.819148936170213,0.945691954593388,0.38415731034055,0.336517585757707,0.580810743750388,0.444733500572951,0
0,0.261506730351715,0.819148936170213,0.968100614105825,0.294522672290801,0.352335463060604,0.611128341914273,0.398665180092292,0
0,0.363004776378637,0.819148936170213,0.918801563178463,0.276595744680851,0.368153340363501,0.633630047763786,0.360401375081297,0
0,0.464502822405558,0.832066869300912,0.838657651510452,0.276595744680851,0.406798585695676,0.6094845232926,0.34592276007309,0
0,0.566000868432479,0.854475528813349,0.749023013460703,0.276595744680851,0.452934061162459,0.577848768686806,0.331444145064883,0
0,0.667498914459401,0.876884188325786,0.659388375410955,0.287947397804106,0.487717883505986,0.546213014081012,0.316965530056676,0
0,0.768996960486322,0.899292847838223,0.569753737361206,0.303765275107003,0.518035481669872,0.514577259475219,0.302486915048469,0
0.0512713307937688,0.819148936170213,0.921701507350661,0.480119099311457,0.3195831524099,0.548353079833757,0.482941504869425,0.288008300040261,0
0.152621635851219,0.819148936170213,0.944110166863098,0.390484461261708,0.335401029712797,0.578670677997643,0.448235221140128,0.278128774505249,0
0.253971940908669,0.819148936170213,0.966518826375535,0.30084982321196,0.351218907015694,0.608988276161528,0.402099745673345,0.282077487689306,0
0.355322245966118,0.819148936170213,0.923546926369332,0.276595744680851,0.367036784318591,0.633723094100862,0.361547050431115,0.286026200873362,0
0.456672551023568,0.830485081570622,0.844984802431611,0.276595744680851,0.403541963898021,0.61171763538242,0.347047329570126,0.289974914057419,0
0.558022856081018,0.852893741083059,0.755350164381862,0.276595744680851,0.449677439364804,0.580081880776627,0.332547608709137,0.293923627241475,0
0.659373161138468,0.875302400595497,0.665715526332113,0.286830841759196,0.485577817753241,0.548446126170833,0.318047887848148,0.297872340425532,0
0.760723466195918,0.897711060107934,0.576080888282365,0.302648719062093,0.515895415917127,0.516810371565039,0.30354816698716,0.301821053609588,0
0.819148936170213,0.920119719620371,0.486446250232616,0.31846659636499,0.546213014081012,0.485174616959246,0.289048446126171,0.305769766793645,0
0.819148936170213,0.942528379132808,0.396811612182867,0.334284473667887,0.576530612244898,0.451491842937783,0.277805347062837,0.308510638297872,0
0.819148936170213,0.964937038645245,0.307176974133118,0.350102350970783,0.606848210408784,0.405356367471001,0.281759816388562,0.308510638297872,0
0.819148936170213,0.928292289560201,0.276595744680851,0.36592022827368,0.633816140437938,0.362570560138949,0.285714285714286,0.308510638297872,0
0.828889095357552,0.85131195335277,0.276595744680851,0.400285342100366,0.613950747472241,0.34807083927796,0.28966875504001,0.308510638297872,0
0.851265136733872,0.761677315303021,0.276595744680851,0.446420817567148,0.582314992866448,0.333571118416972,0.293623224365734,0.3232215305522,0
0.873641178110192,0.672042677253272,0.285714285714286,0.483437752000496,0.550679238260654,0.319071397555983,0.297577693691458,0.356127473752671,0
0.896017219486512,0.582408039203523,0.301532163017183,0.513755350164382,0.51904348365486,0.304571676694994,0.301532163017183,0.389033416953142,0
0.918393260862833,0.492773401153775,0.317350040320079,0.544072948328267,0.487407729049066,0.290071955834005,0.305486632342907,0.421939360153613,0
0.940769302239153,0.403138763104026,0.333167917622976,0.574390546492153,0.454748464735438,0.27752620805161,0.308510638297872,0.454845303354083,0
